Rank,Game,Current,Peak,App ID,Player Hours,Genres,Release Date,Days Since Release,Tags,Recent Review Score,Recent Review Count,Total Review Score,Total Review Count
16.,Wallpaper Engine,50062,139559,431960,59352901,"['Casual', 'Indie', 'Animation & Modeling', 'Design & Illustration', 'Photo Editing', 'Utilities']","Nov 16, 2018",2303,"['Mature', 'Utilities', 'Anime', 'Software', 'Design & Illustration', 'Animation & Modeling', 'NSFW', 'First-Person', 'Indie', 'Memes', 'Cute', 'Action', 'Singleplayer', 'Funny', 'Early Access', 'Photo Editing', 'Sandbox', 'Horror', 'Gaming', 'Game Development']",9,10012,9,808368
17.,Crosshair X,47720,70226,1366800,33230586,"['Action', 'Adventure', 'Indie', 'Animation & Modeling', 'Design & Illustration', 'Education', 'Photo Editing', 'Utilities', 'Game Development']","Aug 17, 2020",1663,"['Action', 'Indie', 'Adventure', 'Utilities', 'Shooter', 'Software', 'FPS', 'Game Development', 'Design & Illustration', 'Animation & Modeling', 'Photo Editing', 'Survival', 'Education', 'First-Person', 'Third-Person Shooter', 'PvP', 'War', 'Tactical', 'Multiplayer', 'Third Person']",8,1366,8,26668
18.,Warframe,47667,76887,230410,38604758,"['Action', 'RPG', 'Free To Play']","Mar 25, 2013",4365,"['Free to Play', 'Action RPG', 'Looter Shooter', 'Third-Person Shooter', 'Action', 'RPG', 'Third Person', 'Character Customization', 'Massively Multiplayer', 'Online Co-Op', 'Co-op', 'PvE', 'Singleplayer', 'Sci-fi', 'Space', 'Lore-Rich', 'Shooter', 'Hack and Slash', 'Parkour', 'Ninja']",8,3974,8,610643
19.,Team Fortress 2,47554,58638,440,31034839,"['Action', 'Free To Play']","Oct 10, 2007",6358,"['Free to Play', 'Hero Shooter', 'Multiplayer', 'FPS', 'Shooter', 'Action', 'Class-Based', 'Team-Based', 'Funny', 'First-Person', 'Online Co-Op', 'Competitive', 'Cartoony', 'Trading', 'Co-op', 'Comedy', 'Robots', 'Tactical', 'Cartoon', 'Crafting']",8,8102,8,1146015
20.,War Thunder,46426,99664,236390,42832875,"['Action', 'Massively Multiplayer', 'Simulation', 'Free To Play']","Aug 15, 2013",4222,"['Free to Play', 'Simulation', 'Vehicular Combat', 'Combat', 'World War II', 'VR', 'Flight', 'War', 'Military', 'Tanks', 'Multiplayer', 'Naval Combat', 'Modern', 'Massively Multiplayer', 'Cold War', 'Realistic', 'Shooter', 'Action', 'Third Person', 'Third-Person Shooter']",6,11249,6,600751
21.,DayZ,45089,75508,221100,29371385,"['Action', 'Adventure', 'Massively Multiplayer']","Dec 13, 2018",2276,"['Survival', 'Open World', 'Online Co-Op', 'Zombies', 'Multiplayer', 'Post-apocalyptic', 'Shooter', 'PvP', 'Action', 'Massively Multiplayer', 'FPS', 'Horror', 'Co-op', 'Sandbox', 'Adventure', 'Survival Horror', 'First-Person', 'Simulation', 'Atmospheric', 'Choose Your Own Adventure']",8,3793,6,349562
22.,Football Manager 2024,43737,79206,2252570,35178469,"['Simulation', 'Sports', 'Strategy']","Nov 6, 2023",487,"['Simulation', 'Sports', 'Management', 'Football (Soccer)', 'Strategy', 'Multiplayer', 'eSports', 'Economy', 'Real Time Tactics', 'Singleplayer', '3D', 'Text-Based', '2D', 'Games Workshop']",8,445,8,12198
23.,Stardew Valley,41700,100401,413150,41125278,"['Indie', 'RPG', 'Simulation']","Feb 26, 2016",3297,"['Farming Sim', 'Pixel Graphics', 'Multiplayer', 'Life Sim', 'RPG', 'Relaxing', 'Agriculture', 'Simulation', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Singleplayer', 'Casual', 'Open World', '2D', 'Cute', 'Dating Sim', 'Great Soundtrack', 'Fishing']",9,8636,9,732536
24.,Crab Game,41357,49151,1782210,26170355,"['Action', 'Casual', 'Free To Play', 'Indie', 'Racing']","Oct 29, 2021",1225,"['Psychological Horror', 'Multiplayer', 'Free to Play', 'Battle Royale', 'PvP', 'Action', 'First-Person', 'Parkour', '3D', 'FPS', 'Platformer', 'Physics', 'Combat', 'Arcade', 'Casual', 'Runner', '3D Platformer', 'Racing', 'Nudity', 'Sci-fi']",8,576,8,152586
25.,Delta Force,40674,130186,2507950,45833964,"['Action', 'Adventure', 'Massively Multiplayer', 'Free To Play']","Dec 4, 2024",93,"['Free to Play', 'FPS', 'Multiplayer', 'Extraction Shooter', 'Singleplayer', 'Shooter', 'Military', 'Massively Multiplayer', 'Action', 'Tactical', 'Online Co-Op', 'PvP', 'Survival', 'War', 'Co-op', 'Looter Shooter', 'Controller', 'Open World', '3D', 'Action-Adventure']",5,14593,5,88356
